time, Quad.Est.E.Yaw, Quad.Est.S.Yaw
2.380010,0.010865,0.027724
2.385010,0.010995,0.028408
2.390009,-0.009785,0.027724
2.395009,-0.008924,0.028408
2.400008,-0.002291,0.027724
2.405008,-0.002535,0.028408
2.410008,-0.005084,0.027724
2.415007,-0.002238,0.028408
2.420007,-0.011206,0.027724
2.425007,-0.014230,0.028408
2.430006,-0.017323,0.027724
2.435006,-0.016748,0.028408
2.440006,-0.030545,0.027724
2.445005,-0.030011,0.028408
2.450005,-0.030419,0.027724
2.455004,-0.028292,0.028408
2.460004,-0.012963,0.027724
2.465004,-0.012211,0.028408
2.470003,-0.010944,0.027724
2.475003,-0.009969,0.028408
2.480003,-0.003365,0.027724
2.485002,-0.002977,0.028408
2.490002,-0.015455,0.027724
2.495002,-0.012580,0.028408
2.500001,-0.002254,0.027724
2.505001,-0.002904,0.028408
2.510000,-0.000361,0.027724
2.515000,-0.000091,0.028408
2.520000,0.004372,0.027724
2.524999,0.002628,0.028408
2.529999,-0.000259,0.027724
2.534999,-0.001369,0.028408
2.539998,0.000899,0.027724
2.544998,0.001377,0.028408
2.549998,0.014312,0.027724
2.554997,0.013668,0.028408
2.559997,0.013886,0.027724
2.564996,0.014478,0.028408
2.569996,0.014117,0.027724
2.574996,0.013378,0.028408
2.579995,-0.000713,0.027724
2.584995,-0.001297,0.028408
2.589995,-0.002649,0.027724
2.594994,-0.002155,0.028408
2.599994,0.008601,0.027724
2.604994,0.009910,0.028408
2.609993,0.002857,0.027724
2.614993,0.005571,0.028408
2.619992,0.014442,0.027724
2.624992,0.018377,0.028408
2.629992,0.026182,0.027724
2.634991,0.025404,0.028408
2.639991,0.041480,0.027724
2.644991,0.039589,0.028408
2.649990,0.035390,0.027724
2.654990,0.035804,0.028408
2.659990,0.041667,0.027724
2.664989,0.041207,0.028408
2.669989,0.045317,0.027724
2.674989,0.046785,0.028408
2.679988,0.037271,0.027724
2.684988,0.036569,0.028408
2.689987,0.040191,0.027724
2.694987,0.036033,0.028408
2.699987,0.034061,0.027724
2.704986,0.037927,0.028408
2.709986,0.027960,0.027724
2.714986,0.030241,0.028408
2.719985,0.036729,0.027724
2.724985,0.036846,0.028408
2.729985,0.024373,0.027724
2.734984,0.025737,0.028408
2.739984,0.027947,0.027724
2.744983,0.026744,0.028408
2.749983,0.028160,0.027724
2.754983,0.026989,0.028408
2.759982,0.016813,0.027724
2.764982,0.015278,0.028408
2.769982,0.018613,0.027724
2.774981,0.018269,0.028408
2.779981,0.008058,0.027724
2.784981,0.007486,0.028408
2.789980,-0.003217,0.027724
2.794980,-0.005253,0.028408
2.799979,-0.017830,0.027724
2.804979,-0.016899,0.028408
2.809979,-0.000143,0.027724
2.814978,-0.002971,0.028408
2.819978,-0.003867,0.027724
2.824978,-0.003295,0.028408
2.829977,-0.008341,0.027724
2.834977,-0.008609,0.028408
2.839977,-0.023383,0.027724
2.844976,-0.022022,0.028408
2.849976,-0.012202,0.027724
2.854975,-0.013718,0.028408
2.859975,-0.006980,0.027724
2.864975,-0.006419,0.028408
2.869974,0.006186,0.027724
2.874974,0.004769,0.028408
2.879974,0.009638,0.027724
2.884973,0.006269,0.028408
2.889973,0.008703,0.027724
2.894973,0.007278,0.028408
2.899972,-0.003825,0.027724
2.904972,-0.006246,0.028408
2.909971,-0.024126,0.027724
2.914971,-0.022154,0.028408
2.919971,-0.025204,0.027724
2.924970,-0.021870,0.028408
2.929970,-0.018565,0.027724
2.934970,-0.019181,0.028408
2.939969,-0.017469,0.027724
2.944969,-0.016540,0.028408
2.949969,-0.018695,0.027724
2.954968,-0.018301,0.028408
2.959968,-0.013324,0.027724
2.964967,-0.011967,0.028408
2.969967,-0.005665,0.027724
2.974967,-0.007922,0.028408
2.979966,-0.000895,0.027724
2.984966,-0.001384,0.028408
2.989966,0.005056,0.027724
2.994965,0.005825,0.028408
2.999965,0.026333,0.027724
3.004965,0.029184,0.028408
3.009964,0.028575,0.027724
3.014964,0.029772,0.028408
3.019964,0.026474,0.027724
3.024963,0.023619,0.028408
3.029963,0.025855,0.027724
3.034962,0.027234,0.028408
3.039962,0.023227,0.027724
3.044962,0.022523,0.028408
3.049961,0.028360,0.027724
3.054961,0.028231,0.028408
3.059961,0.029106,0.027724
3.064960,0.028749,0.028408
3.069960,0.036483,0.027724
3.074960,0.035714,0.028408
3.079959,0.025930,0.027724
3.084959,0.027635,0.028408
3.089958,0.021530,0.027724
3.094958,0.019788,0.028408
3.099958,0.020690,0.027724
3.104957,0.021218,0.028408
3.109957,0.038395,0.027724
3.114957,0.040031,0.028408
3.119956,0.042435,0.027724
3.124956,0.041417,0.028408
3.129956,0.056425,0.027724
3.134955,0.054865,0.028408
3.139955,0.061559,0.027724
3.144954,0.061977,0.028408
3.149954,0.065009,0.027724
3.154954,0.072137,0.028408
3.159953,0.067739,0.027724
3.164953,0.065976,0.028408
3.169953,0.043111,0.027724
3.174952,0.040735,0.028408
3.179952,0.048017,0.027724
3.184952,0.046181,0.028408
3.189951,0.028759,0.027724
3.194951,0.031543,0.028408
3.199950,0.030052,0.027724
3.204950,0.025848,0.028408
3.209950,0.031451,0.027724
3.214949,0.026595,0.028408
3.219949,0.033307,0.027724
3.224949,0.038950,0.028408
3.229948,0.036348,0.027724
3.234948,0.038062,0.028408
3.239948,0.032886,0.027724
3.244947,0.032118,0.028408
3.249947,0.029090,0.027724
3.254946,0.030449,0.028408
3.259946,0.033612,0.027724
3.264946,0.033325,0.028408
3.269945,0.021827,0.027724
3.274945,0.025495,0.028408
3.279945,0.021977,0.027724
3.284944,0.020309,0.028408
3.289944,0.025273,0.027724
3.294944,0.023035,0.028408
3.299943,0.027278,0.027724
3.304943,0.023475,0.028408
3.309942,0.034872,0.027724
3.314942,0.035627,0.028408
3.319942,0.010632,0.027724
3.324941,0.011637,0.028408
3.329941,0.032489,0.027724
3.334941,0.028976,0.028408
3.339940,0.021739,0.027724
3.344940,0.021703,0.028408
3.349940,0.020889,0.027724
3.354939,0.015774,0.028408
3.359939,0.013900,0.027724
3.364938,0.013982,0.028408
3.369938,0.020195,0.027724
3.374938,0.018660,0.028408
3.379937,0.008210,0.027724
3.384937,0.007324,0.028408
3.389937,0.010652,0.027724
3.394936,0.011203,0.028408
3.399936,0.009606,0.027724
3.404936,0.012232,0.028408
3.409935,0.024047,0.027724
3.414935,0.021776,0.028408
3.419935,0.018108,0.027724
3.424934,0.016547,0.028408
3.429934,0.008355,0.027724
3.434933,0.004237,0.028408
3.439933,-0.003471,0.027724
3.444933,-0.002576,0.028408
3.449932,0.013313,0.027724
3.454932,0.013513,0.028408
3.459932,0.001674,0.027724
3.464931,0.002147,0.028408
3.469931,0.016227,0.027724
3.474931,0.015061,0.028408
3.479930,0.017511,0.027724
3.484930,0.017819,0.028408
3.489929,0.017604,0.027724
3.494929,0.017558,0.028408
3.499929,0.008686,0.027724
3.504928,0.009354,0.028408
3.509928,0.012552,0.027724
3.514928,0.013452,0.028408
3.519927,0.006090,0.027724
3.524927,0.007378,0.028408
3.529927,0.000489,0.027724
3.534926,-0.000225,0.028408
3.539926,0.001831,0.027724
3.544925,0.003405,0.028408
3.549925,0.000694,0.027724
3.554925,0.001424,0.028408
3.559924,0.002849,0.027724
3.564924,0.005845,0.028408
3.569924,0.003145,0.027724
3.574923,0.003733,0.028408
3.579923,0.001386,0.027724
3.584923,0.003101,0.028408
3.589922,-0.003799,0.027724
3.594922,-0.002095,0.028408
3.599921,0.000522,0.027724
3.604921,0.001486,0.028408
3.609921,0.006228,0.027724
3.614920,0.004045,0.028408
3.619920,0.006798,0.027724
3.624920,0.008482,0.028408
3.629919,0.001700,0.027724
3.634919,0.001960,0.028408
3.639919,0.010389,0.027724
3.644918,0.012358,0.028408
3.649918,0.003642,0.027724
3.654917,0.004451,0.028408
3.659917,0.005967,0.027724
3.664917,0.007172,0.028408
3.669916,0.010260,0.027724
3.674916,0.013507,0.028408
3.679916,0.023251,0.027724
3.684915,0.024680,0.028408
3.689915,0.032164,0.027724
3.694915,0.032069,0.028408
3.699914,0.022893,0.027724
3.704914,0.024085,0.028408
3.709913,0.036111,0.027724
3.714913,0.036518,0.028408
3.719913,0.042674,0.027724
3.724912,0.043484,0.028408
3.729912,0.013743,0.027724
3.734912,0.016177,0.028408
3.739911,-0.005646,0.027724
3.744911,-0.007108,0.028408
3.749911,-0.008358,0.027724
3.754910,-0.008469,0.028408
